[2023-07-25 02:57:45.901 PM] : 	ToServer/0ACFD54A - LOG,9,1690173389,BAR,572.0,
[2023-07-25 02:58:12.732 PM] : 	{"id":2174994,"dateTimeUTC":"2023-07-25T04:58:04.150Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":5516,"logNote":""}
[2023-07-25 02:58:12.732 PM] : 	{"id":2174995,"dateTimeUTC":"2023-07-25T04:58:04.150Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":9561,"logNote":""}
[2023-07-25 02:58:12.754 PM] : 	{"id":2174997,"dateTimeUTC":"2023-07-25T04:58:04.512Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":8296,"logNote":""}
[2023-07-25 02:58:12.767 PM] : 	{"id":2174998,"dateTimeUTC":"2023-07-25T04:58:04.150Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":4058,"logNote":""}
[2023-07-25 02:58:12.777 PM] : 	ToServer/AAAAAA - LOG,2,1690261092,test,3357,
[2023-07-25 02:58:12.777 PM] : 	ToServer/BBBBBB - LOG,3,1690261092,test,4639,
[2023-07-25 02:58:12.777 PM] : 	ToServer/CCCCC - LOG,9,1690261092,test,6541,
[2023-07-25 02:58:12.777 PM] : 	ToServer/DDDDD - LOG,7,1690261092,test,2156,
[2023-07-25 02:58:12.777 PM] : 	ToServer/EEEEE - LOG,8,1690261092,test,2746,
[2023-07-25 02:58:12.777 PM] : 	ToServer/AAAAAA - LOG,9,1690261092,test,1813,
[2023-07-25 02:58:12.777 PM] : 	ToServer/BBBBBB - LOG,6,1690261092,test,5584,
[2023-07-25 02:58:12.777 PM] : 	ToServer/CCCCC - LOG,3,1690261092,test,2431,
[2023-07-25 02:58:12.777 PM] : 	ToServer/DDDDD - LOG,2,1690261092,test,4481,
[2023-07-25 02:58:12.777 PM] : 	ToServer/EEEEE - LOG,3,1690261092,test,9465,
[2023-07-25 02:58:12.839 PM] : 	ToServer/AAAAAA - LOG,6,1690261092,test,2127,
[2023-07-25 02:58:12.839 PM] : 	ToServer/BBBBBB - LOG,8,1690261092,test,8025,
[2023-07-25 02:58:12.839 PM] : 	ToServer/CCCCC - LOG,4,1690261092,test,2638,
[2023-07-25 02:58:12.839 PM] : 	ToServer/DDDDD - LOG,9,1690261092,test,5962,
[2023-07-25 02:58:12.839 PM] : 	ToServer/EEEEE - LOG,8,1690261092,test,4514,
[2023-07-25 02:58:12.839 PM] : 	ToServer/AAAAAA - LOG,4,1690261092,test,2570,
[2023-07-25 02:58:12.839 PM] : 	ToServer/BBBBBB - LOG,0,1690261092,test,6409,
[2023-07-25 02:58:12.839 PM] : 	ToServer/CCCCC - LOG,6,1690261092,test,1278,
[2023-07-25 02:58:12.839 PM] : 	ToServer/DDDDD - LOG,2,1690261092,test,9160,
[2023-07-25 02:58:12.840 PM] : 	ToServer/EEEEE - LOG,9,1690261092,test,5476,
[2023-07-25 02:58:12.840 PM] : 	ToServer/AAAAAA - LOG,7,1690261092,test,7196,
[2023-07-25 02:58:12.840 PM] : 	ToServer/BBBBBB - LOG,8,1690261092,test,8755,
[2023-07-25 02:58:12.840 PM] : 	ToServer/CCCCC - LOG,4,1690261092,test,2094,
[2023-07-25 02:58:12.840 PM] : 	ToServer/DDDDD - LOG,3,1690261092,test,3183,
[2023-07-25 02:58:12.840 PM] : 	ToServer/EEEEE - LOG,2,1690261092,test,7218,
[2023-07-25 02:58:12.840 PM] : 	ToServer/AAAAAA - LOG,6,1690261092,test,3903,
[2023-07-25 02:58:12.840 PM] : 	ToServer/BBBBBB - LOG,0,1690261092,test,6467,
[2023-07-25 02:58:12.840 PM] : 	{"id":2175000,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":1852,"logNote":""}
[2023-07-25 02:58:12.841 PM] : 	{"id":2174999,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":5,"logType":"test","logValue":2437,"logNote":""}
[2023-07-25 02:58:12.848 PM] : 	{"id":2175021,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":7862,"logNote":""}
[2023-07-25 02:58:12.850 PM] : 	{"id":2175022,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":9218,"logNote":""}
[2023-07-25 02:58:12.850 PM] : 	{"id":2175024,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":8,"logType":"test","logValue":326,"logNote":""}
[2023-07-25 02:58:12.850 PM] : 	{"id":2175023,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":7005,"logNote":""}
[2023-07-25 02:58:12.890 PM] : 	ToServer/CCCCC - LOG,2,1690261092,test,265,
[2023-07-25 02:58:12.890 PM] : 	ToServer/DDDDD - LOG,0,1690261092,test,1347,
[2023-07-25 02:58:12.890 PM] : 	ToServer/EEEEE - LOG,7,1690261092,test,5320,
[2023-07-25 02:58:12.890 PM] : 	ToServer/AAAAAA - LOG,1,1690261092,test,9461,
[2023-07-25 02:58:12.890 PM] : 	ToServer/BBBBBB - LOG,9,1690261092,test,4709,
[2023-07-25 02:58:12.890 PM] : 	ToServer/CCCCC - LOG,0,1690261092,test,5116,
[2023-07-25 02:58:12.890 PM] : 	ToServer/DDDDD - LOG,8,1690261092,test,5205,
[2023-07-25 02:58:12.890 PM] : 	ToServer/EEEEE - LOG,0,1690261092,test,4038,
[2023-07-25 02:58:12.890 PM] : 	ToServer/AAAAAA - LOG,3,1690261092,test,752,
[2023-07-25 02:58:12.890 PM] : 	ToServer/BBBBBB - LOG,3,1690261092,test,4430,
[2023-07-25 02:58:12.891 PM] : 	ToServer/CCCCC - LOG,6,1690261092,test,8564,
[2023-07-25 02:58:12.891 PM] : 	ToServer/DDDDD - LOG,3,1690261092,test,9571,
[2023-07-25 02:58:12.891 PM] : 	ToServer/EEEEE - LOG,9,1690261092,test,7076,
[2023-07-25 02:58:12.892 PM] : 	{"id":2175031,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":8595,"logNote":""}
[2023-07-25 02:58:12.892 PM] : 	{"id":2175025,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":7,"logType":"test","logValue":7137,"logNote":""}
[2023-07-25 02:58:12.935 PM] : 	ToServer/AAAAAA - LOG,4,1690261092,test,9517,
[2023-07-25 02:58:12.935 PM] : 	ToServer/BBBBBB - LOG,8,1690261092,test,8947,
[2023-07-25 02:58:12.935 PM] : 	ToServer/CCCCC - LOG,6,1690261092,test,3005,
[2023-07-25 02:58:12.935 PM] : 	ToServer/DDDDD - LOG,6,1690261092,test,3186,
[2023-07-25 02:58:12.935 PM] : 	ToServer/EEEEE - LOG,3,1690261092,test,129,
[2023-07-25 02:58:12.935 PM] : 	ToServer/AAAAAA - LOG,4,1690261092,test,6156,
[2023-07-25 02:58:12.935 PM] : 	ToServer/BBBBBB - LOG,3,1690261092,test,1122,
[2023-07-25 02:58:12.935 PM] : 	ToServer/CCCCC - LOG,8,1690261092,test,6696,
[2023-07-25 02:58:12.935 PM] : 	ToServer/DDDDD - LOG,9,1690261092,test,748,
[2023-07-25 02:58:12.936 PM] : 	ToServer/EEEEE - LOG,0,1690261092,test,5464,
[2023-07-25 02:58:12.936 PM] : 	{"id":2175032,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":7053,"logNote":""}
[2023-07-25 02:58:12.936 PM] : 	{"id":2175033,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":4327,"logNote":""}
[2023-07-25 02:58:12.936 PM] : 	{"id":2175034,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":7112,"logNote":""}
[2023-07-25 02:58:12.960 PM] : 	{"id":2175036,"dateTimeUTC":"2023-07-25T04:58:04.514Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":8034,"logNote":""}
[2023-07-25 02:58:12.960 PM] : 	{"id":2175035,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":3754,"logNote":""}
[2023-07-25 02:58:12.983 PM] : 	ToServer/AAAAAA - LOG,1,1690261092,test,1204,
[2023-07-25 02:58:12.984 PM] : 	ToServer/BBBBBB - LOG,5,1690261092,test,5816,
[2023-07-25 02:58:12.984 PM] : 	ToServer/CCCCC - LOG,5,1690261092,test,3250,
[2023-07-25 02:58:12.984 PM] : 	ToServer/DDDDD - LOG,6,1690261092,test,8730,
[2023-07-25 02:58:12.984 PM] : 	ToServer/EEEEE - LOG,9,1690261092,test,8652,
[2023-07-25 02:58:13.033 PM] : 	ToServer/AAAAAA - LOG,8,1690261092,test,1896,
[2023-07-25 02:58:13.033 PM] : 	ToServer/BBBBBB - LOG,5,1690261092,test,7844,
[2023-07-25 02:58:13.033 PM] : 	ToServer/CCCCC - LOG,0,1690261092,test,4538,
[2023-07-25 02:58:13.033 PM] : 	ToServer/DDDDD - LOG,2,1690261092,test,9233,
[2023-07-25 02:58:13.033 PM] : 	ToServer/EEEEE - LOG,6,1690261092,test,5667,
[2023-07-25 02:58:13.034 PM] : 	{"id":2175046,"dateTimeUTC":"2023-07-25T04:58:04.513Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":2,"logType":"test","logValue":241,"logNote":""}
[2023-07-25 02:58:13.035 PM] : 	{"id":2175047,"dateTimeUTC":"2023-07-25T04:58:04.514Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":1877,"logNote":""}
[2023-07-25 02:58:13.074 PM] : 	{"id":2175054,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":2847,"logNote":""}
[2023-07-25 02:58:13.074 PM] : 	{"id":2175053,"dateTimeUTC":"2023-07-25T04:58:04.514Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":9662,"logNote":""}
[2023-07-25 02:58:13.074 PM] : 	{"id":2175056,"dateTimeUTC":"2023-07-25T04:58:04.514Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":8,"logType":"test","logValue":262,"logNote":""}
[2023-07-25 02:58:13.074 PM] : 	{"id":2175055,"dateTimeUTC":"2023-07-25T04:58:04.514Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":1671,"logNote":""}
[2023-07-25 02:58:13.081 PM] : 	ToServer/AAAAAA - LOG,2,1690261092,test,8248,
[2023-07-25 02:58:13.081 PM] : 	ToServer/BBBBBB - LOG,1,1690261092,test,8827,
[2023-07-25 02:58:13.081 PM] : 	ToServer/CCCCC - LOG,5,1690261092,test,9666,
[2023-07-25 02:58:13.082 PM] : 	ToServer/DDDDD - LOG,1,1690261092,test,4589,
[2023-07-25 02:58:13.082 PM] : 	ToServer/EEEEE - LOG,5,1690261092,test,1030,
[2023-07-25 02:58:13.087 PM] : 	{"id":2175058,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":6,"logType":"test","logValue":6833,"logNote":""}
[2023-07-25 02:58:13.087 PM] : 	{"id":2175057,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":5,"logType":"test","logValue":8061,"logNote":""}
[2023-07-25 02:58:13.146 PM] : 	ToServer/AAAAAA - LOG,8,1690261093,test,2464,
[2023-07-25 02:58:13.146 PM] : 	ToServer/BBBBBB - LOG,2,1690261093,test,6389,
[2023-07-25 02:58:13.146 PM] : 	ToServer/CCCCC - LOG,7,1690261093,test,6817,
[2023-07-25 02:58:13.146 PM] : 	ToServer/DDDDD - LOG,5,1690261093,test,6194,
[2023-07-25 02:58:13.146 PM] : 	ToServer/EEEEE - LOG,5,1690261093,test,3837,
[2023-07-25 02:58:13.147 PM] : 	{"id":2175065,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":7,"logType":"test","logValue":795,"logNote":""}
[2023-07-25 02:58:13.147 PM] : 	{"id":2175063,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":2906,"logNote":""}
[2023-07-25 02:58:13.147 PM] : 	{"id":2175064,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":4200,"logNote":""}
[2023-07-25 02:58:13.182 PM] : 	{"id":2175072,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":6,"logType":"test","logValue":7758,"logNote":""}
[2023-07-25 02:58:13.182 PM] : 	{"id":2175071,"dateTimeUTC":"2023-07-25T04:58:04.561Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":7062,"logNote":""}
[2023-07-25 02:58:13.192 PM] : 	ToServer/AAAAAA - LOG,5,1690261093,test,1006,
[2023-07-25 02:58:13.192 PM] : 	ToServer/BBBBBB - LOG,5,1690261093,test,6425,
[2023-07-25 02:58:13.192 PM] : 	ToServer/CCCCC - LOG,3,1690261093,test,3597,
[2023-07-25 02:58:13.192 PM] : 	ToServer/DDDDD - LOG,0,1690261093,test,1137,
[2023-07-25 02:58:13.192 PM] : 	ToServer/EEEEE - LOG,2,1690261093,test,4870,
[2023-07-25 02:58:13.238 PM] : 	ToServer/AAAAAA - LOG,9,1690261093,test,1254,
[2023-07-25 02:58:13.238 PM] : 	ToServer/BBBBBB - LOG,6,1690261093,test,7938,
[2023-07-25 02:58:13.239 PM] : 	ToServer/CCCCC - LOG,5,1690261093,test,3901,
[2023-07-25 02:58:13.239 PM] : 	ToServer/DDDDD - LOG,1,1690261093,test,1314,
[2023-07-25 02:58:13.239 PM] : 	ToServer/EEEEE - LOG,5,1690261093,test,1030,
[2023-07-25 02:58:13.250 PM] : 	{"id":2175083,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":3,"logType":"test","logValue":7539,"logNote":""}
[2023-07-25 02:58:13.250 PM] : 	{"id":2175082,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":1,"logType":"test","logValue":8809,"logNote":""}
[2023-07-25 02:58:13.265 PM] : 	{"id":2175084,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":966,"logNote":""}
[2023-07-25 02:58:13.270 PM] : 	{"id":2175085,"dateTimeUTC":"2023-07-25T04:58:04.603Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":5,"logType":"test","logValue":6633,"logNote":""}
[2023-07-25 02:58:13.285 PM] : 	ToServer/AAAAAA - LOG,5,1690261093,test,221,
[2023-07-25 02:58:13.285 PM] : 	ToServer/BBBBBB - LOG,2,1690261093,test,7106,
[2023-07-25 02:58:13.285 PM] : 	ToServer/CCCCC - LOG,4,1690261093,test,6067,
[2023-07-25 02:58:13.285 PM] : 	ToServer/DDDDD - LOG,1,1690261093,test,9841,
[2023-07-25 02:58:13.285 PM] : 	ToServer/EEEEE - LOG,0,1690261093,test,9635,
[2023-07-25 02:58:13.288 PM] : 	{"id":2175088,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":103,"logNote":""}
[2023-07-25 02:58:13.288 PM] : 	{"id":2175087,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":3341,"logNote":""}
[2023-07-25 02:58:13.288 PM] : 	{"id":2175086,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":4,"logType":"test","logValue":648,"logNote":""}
[2023-07-25 02:58:13.335 PM] : 	ToServer/AAAAAA - LOG,5,1690261093,test,9197,
[2023-07-25 02:58:13.335 PM] : 	ToServer/BBBBBB - LOG,3,1690261093,test,8743,
[2023-07-25 02:58:13.335 PM] : 	ToServer/CCCCC - LOG,1,1690261093,test,849,
[2023-07-25 02:58:13.335 PM] : 	ToServer/DDDDD - LOG,8,1690261093,test,2708,
[2023-07-25 02:58:13.335 PM] : 	ToServer/EEEEE - LOG,7,1690261093,test,5135,
[2023-07-25 02:58:13.342 PM] : 	{"id":2175096,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":8,"logType":"test","logValue":7721,"logNote":""}
[2023-07-25 02:58:13.342 PM] : 	{"id":2175095,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":1292,"logNote":""}
[2023-07-25 02:58:13.342 PM] : 	{"id":2175094,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":6318,"logNote":""}
[2023-07-25 02:58:13.353 PM] : 	{"id":2175101,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":8,"logType":"test","logValue":7765,"logNote":""}
[2023-07-25 02:58:13.368 PM] : 	{"id":2175102,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":2585,"logNote":""}
[2023-07-25 02:58:13.381 PM] : 	ToServer/AAAAAA - LOG,7,1690261093,test,2308,
[2023-07-25 02:58:13.382 PM] : 	ToServer/BBBBBB - LOG,1,1690261093,test,9573,
[2023-07-25 02:58:13.382 PM] : 	ToServer/CCCCC - LOG,2,1690261093,test,8058,
[2023-07-25 02:58:13.382 PM] : 	ToServer/DDDDD - LOG,6,1690261093,test,2420,
[2023-07-25 02:58:13.382 PM] : 	ToServer/EEEEE - LOG,8,1690261093,test,6270,
[2023-07-25 02:58:13.434 PM] : 	ToServer/AAAAAA - LOG,2,1690261093,test,6879,
[2023-07-25 02:58:13.435 PM] : 	ToServer/BBBBBB - LOG,7,1690261093,test,2081,
[2023-07-25 02:58:13.435 PM] : 	ToServer/CCCCC - LOG,4,1690261093,test,432,
[2023-07-25 02:58:13.435 PM] : 	ToServer/DDDDD - LOG,7,1690261093,test,5048,
[2023-07-25 02:58:13.435 PM] : 	ToServer/EEEEE - LOG,9,1690261093,test,250,
[2023-07-25 02:58:13.435 PM] : 	{"id":2175109,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":1,"logType":"test","logValue":4979,"logNote":""}
[2023-07-25 02:58:13.435 PM] : 	{"id":2175108,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":4,"logType":"test","logValue":2726,"logNote":""}
[2023-07-25 02:58:13.442 PM] : 	{"id":2175110,"dateTimeUTC":"2023-07-25T04:58:04.657Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":6,"logType":"test","logValue":696,"logNote":""}
[2023-07-25 02:58:13.469 PM] : 	{"id":2175115,"dateTimeUTC":"2023-07-25T04:58:04.726Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":7097,"logNote":""}
[2023-07-25 02:58:13.480 PM] : 	{"id":2175117,"dateTimeUTC":"2023-07-25T04:58:04.726Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":1,"logType":"test","logValue":6344,"logNote":""}
[2023-07-25 02:58:13.487 PM] : 	ToServer/AAAAAA - LOG,8,1690261093,test,3904,
[2023-07-25 02:58:13.487 PM] : 	ToServer/BBBBBB - LOG,7,1690261093,test,8356,
[2023-07-25 02:58:13.487 PM] : 	ToServer/CCCCC - LOG,4,1690261093,test,7987,
[2023-07-25 02:58:13.488 PM] : 	ToServer/DDDDD - LOG,8,1690261093,test,4474,
[2023-07-25 02:58:13.488 PM] : 	ToServer/EEEEE - LOG,7,1690261093,test,8296,
[2023-07-25 02:58:13.488 PM] : 	{"id":2175119,"dateTimeUTC":"2023-07-25T04:58:04.726Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":2007,"logNote":""}
[2023-07-25 02:58:13.488 PM] : 	{"id":2175118,"dateTimeUTC":"2023-07-25T04:58:04.726Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":8339,"logNote":""}
[2023-07-25 02:58:13.521 PM] : 	{"id":2175126,"dateTimeUTC":"2023-07-25T04:58:04.726Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":3,"logType":"test","logValue":8162,"logNote":""}
[2023-07-25 02:58:13.529 PM] : 	{"id":2175128,"dateTimeUTC":"2023-07-25T04:58:04.773Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":3081,"logNote":""}
[2023-07-25 02:58:13.541 PM] : 	ToServer/AAAAAA - LOG,2,1690261093,test,5368,
[2023-07-25 02:58:13.542 PM] : 	ToServer/BBBBBB - LOG,8,1690261093,test,3842,
[2023-07-25 02:58:13.542 PM] : 	ToServer/CCCCC - LOG,3,1690261093,test,2561,
[2023-07-25 02:58:13.542 PM] : 	ToServer/DDDDD - LOG,8,1690261093,test,1163,
[2023-07-25 02:58:13.542 PM] : 	ToServer/EEEEE - LOG,0,1690261093,test,1478,
[2023-07-25 02:58:13.542 PM] : 	{"id":2175130,"dateTimeUTC":"2023-07-25T04:58:04.773Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":5401,"logNote":""}
[2023-07-25 02:58:13.582 PM] : 	ToServer/AAAAAA - LOG,6,1690261093,test,2876,
[2023-07-25 02:58:13.582 PM] : 	ToServer/BBBBBB - LOG,0,1690261093,test,5475,
[2023-07-25 02:58:13.582 PM] : 	ToServer/CCCCC - LOG,0,1690261093,test,8139,
[2023-07-25 02:58:13.582 PM] : 	ToServer/DDDDD - LOG,1,1690261093,test,337,
[2023-07-25 02:58:13.582 PM] : 	ToServer/EEEEE - LOG,8,1690261093,test,3111,
[2023-07-25 02:58:13.619 PM] : 	{"id":2175142,"dateTimeUTC":"2023-07-25T04:58:04.811Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":7093,"logNote":""}
[2023-07-25 02:58:13.627 PM] : 	{"id":2175141,"dateTimeUTC":"2023-07-25T04:58:04.810Z","timestampUTC":1690261084,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":5691,"logNote":""}
[2023-07-25 02:58:13.655 PM] : 	{"id":2175146,"dateTimeUTC":"2023-07-25T04:58:04.855Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":1855,"logNote":""}
[2023-07-25 02:58:13.694 PM] : 	{"id":2175150,"dateTimeUTC":"2023-07-25T04:58:04.855Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":3,"logType":"test","logValue":5065,"logNote":""}
[2023-07-25 02:58:13.695 PM] : 	{"id":2175151,"dateTimeUTC":"2023-07-25T04:58:04.899Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":1942,"logNote":""}
[2023-07-25 02:58:13.707 PM] : 	{"id":2175155,"dateTimeUTC":"2023-07-25T04:58:04.899Z","timestampUTC":1690261084,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":7979,"logNote":""}
[2023-07-25 02:58:13.763 PM] : 	{"id":2175127,"dateTimeUTC":"2023-07-25T04:58:04.773Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":6589,"logNote":""}
[2023-07-25 02:58:13.780 PM] : 	{"id":2175162,"dateTimeUTC":"2023-07-25T04:58:04.900Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":7,"logType":"test","logValue":7225,"logNote":""}
[2023-07-25 02:58:13.780 PM] : 	{"id":2175125,"dateTimeUTC":"2023-07-25T04:58:04.562Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":9366,"logNote":""}
[2023-07-25 02:58:13.789 PM] : 	{"id":2175163,"dateTimeUTC":"2023-07-25T04:58:04.900Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":3,"logType":"test","logValue":8732,"logNote":""}
[2023-07-25 02:58:13.816 PM] : 	{"id":2175135,"dateTimeUTC":"2023-07-25T04:58:04.773Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":8107,"logNote":""}
[2023-07-25 02:58:13.822 PM] : 	{"id":2175164,"dateTimeUTC":"2023-07-25T04:58:04.951Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":3,"logType":"test","logValue":8571,"logNote":""}
[2023-07-25 02:58:13.862 PM] : 	{"id":2175140,"dateTimeUTC":"2023-07-25T04:58:04.773Z","timestampUTC":1690261084,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":3856,"logNote":""}
[2023-07-25 02:58:13.862 PM] : 	{"id":2175165,"dateTimeUTC":"2023-07-25T04:58:04.951Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":2,"logType":"test","logValue":3630,"logNote":""}
[2023-07-25 02:58:13.862 PM] : 	{"id":2175166,"dateTimeUTC":"2023-07-25T04:58:04.951Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":4,"logType":"test","logValue":4139,"logNote":""}
[2023-07-25 02:58:13.875 PM] : 	{"id":2175167,"dateTimeUTC":"2023-07-25T04:58:05.002Z","timestampUTC":1690261084,"deviceId":"DDDDD","taskId":6,"logType":"test","logValue":2239,"logNote":""}
[2023-07-25 02:58:13.898 PM] : 	{"id":2175168,"dateTimeUTC":"2023-07-25T04:58:04.811Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":577,"logNote":""}
[2023-07-25 02:58:13.925 PM] : 	{"id":2175169,"dateTimeUTC":"2023-07-25T04:58:05.002Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":2407,"logNote":""}
[2023-07-25 02:58:13.925 PM] : 	{"id":2175148,"dateTimeUTC":"2023-07-25T04:58:04.855Z","timestampUTC":1690261084,"deviceId":"BBBBBB","taskId":7,"logType":"test","logValue":4786,"logNote":""}
[2023-07-25 02:58:13.942 PM] : 	ToServer/AAAAAA - LOG,5,1690261093,test,9550,
[2023-07-25 02:58:13.942 PM] : 	ToServer/BBBBBB - LOG,6,1690261093,test,5083,
[2023-07-25 02:58:13.942 PM] : 	ToServer/CCCCC - LOG,1,1690261093,test,6123,
[2023-07-25 02:58:13.942 PM] : 	ToServer/DDDDD - LOG,2,1690261093,test,4681,
[2023-07-25 02:58:13.942 PM] : 	ToServer/EEEEE - LOG,2,1690261093,test,750,
