[2023-07-18 12:49:55.960 PM] : 	ToServer/0ACFD54A - CHK,0,1689560528
[2023-07-18 12:50:06.813 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.819 PM] : 	{"id":2166032,"dateTimeUTC":"2023-07-18T02:50:05.618Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":2515,"logNote":""}
[2023-07-18 12:50:06.837 PM] : 	{"id":2166033,"dateTimeUTC":"2023-07-18T02:50:05.676Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":9,"logType":"test","logValue":2723,"logNote":""}
[2023-07-18 12:50:06.844 PM] : 	ToServer/AAAAAA - LOG,5,1689648606,test,7921,
[2023-07-18 12:50:06.844 PM] : 	ToServer/BBBBBB - LOG,7,1689648606,test,7157,
[2023-07-18 12:50:06.844 PM] : 	ToServer/CCCCC - LOG,8,1689648606,test,2605,
[2023-07-18 12:50:06.844 PM] : 	ToServer/DDDDD - LOG,6,1689648606,test,1815,
[2023-07-18 12:50:06.844 PM] : 	ToServer/EEEEE - LOG,2,1689648606,test,289,
[2023-07-18 12:50:06.845 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.845 PM] : 	{"id":2166035,"dateTimeUTC":"2023-07-18T02:50:05.676Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":9,"logType":"test","logValue":2175,"logNote":""}
[2023-07-18 12:50:06.845 PM] : 	{"id":2166034,"dateTimeUTC":"2023-07-18T02:50:05.676Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":8739,"logNote":""}
[2023-07-18 12:50:06.849 PM] : 	{"id":2166041,"dateTimeUTC":"2023-07-18T02:50:05.676Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":5684,"logNote":""}
[2023-07-18 12:50:06.862 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.862 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.886 PM] : 	{"id":2166042,"dateTimeUTC":"2023-07-18T02:50:05.724Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":551,"logNote":""}
[2023-07-18 12:50:06.890 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.891 PM] : 	{"id":2166043,"dateTimeUTC":"2023-07-18T02:50:05.724Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":4145,"logNote":""}
[2023-07-18 12:50:06.895 PM] : 	ToServer/AAAAAA - LOG,8,1689648606,test,3089,
[2023-07-18 12:50:06.895 PM] : 	ToServer/BBBBBB - LOG,4,1689648606,test,2316,
[2023-07-18 12:50:06.895 PM] : 	ToServer/CCCCC - LOG,9,1689648606,test,824,
[2023-07-18 12:50:06.895 PM] : 	ToServer/DDDDD - LOG,3,1689648606,test,3115,
[2023-07-18 12:50:06.895 PM] : 	ToServer/EEEEE - LOG,0,1689648606,test,357,
[2023-07-18 12:50:06.896 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.900 PM] : 	{"id":2166048,"dateTimeUTC":"2023-07-18T02:50:05.724Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":7,"logType":"test","logValue":316,"logNote":""}
[2023-07-18 12:50:06.910 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.910 PM] : 	{"id":2166050,"dateTimeUTC":"2023-07-18T02:50:05.724Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":6191,"logNote":""}
[2023-07-18 12:50:06.910 PM] : 	{"id":2166049,"dateTimeUTC":"2023-07-18T02:50:05.724Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":1242,"logNote":""}
[2023-07-18 12:50:06.915 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.916 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.920 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.929 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.937 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.948 PM] : 	ToServer/AAAAAA - LOG,4,1689648606,test,8263,
[2023-07-18 12:50:06.948 PM] : 	ToServer/BBBBBB - LOG,8,1689648606,test,5390,
[2023-07-18 12:50:06.948 PM] : 	ToServer/CCCCC - LOG,6,1689648606,test,2689,
[2023-07-18 12:50:06.948 PM] : 	ToServer/DDDDD - LOG,7,1689648606,test,5409,
[2023-07-18 12:50:06.948 PM] : 	ToServer/EEEEE - LOG,2,1689648606,test,2746,
[2023-07-18 12:50:06.980 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.981 PM] : 	{"id":2166058,"dateTimeUTC":"2023-07-18T02:50:05.778Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":7,"logType":"test","logValue":9685,"logNote":""}
[2023-07-18 12:50:06.981 PM] : 	{"id":2166056,"dateTimeUTC":"2023-07-18T02:50:05.778Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":8,"logType":"test","logValue":3000,"logNote":""}
[2023-07-18 12:50:06.981 PM] : 	{"id":2166057,"dateTimeUTC":"2023-07-18T02:50:05.778Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":7217,"logNote":""}
[2023-07-18 12:50:06.985 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:06.995 PM] : 	{"id":2166059,"dateTimeUTC":"2023-07-18T02:50:05.778Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":4258,"logNote":""}
[2023-07-18 12:50:07.001 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.001 PM] : 	{"id":2166063,"dateTimeUTC":"2023-07-18T02:50:05.827Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":7,"logType":"test","logValue":6720,"logNote":""}
[2023-07-18 12:50:07.002 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.002 PM] : 	{"id":2166064,"dateTimeUTC":"2023-07-18T02:50:05.778Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":3,"logType":"test","logValue":3499,"logNote":""}
[2023-07-18 12:50:07.002 PM] : 	{"id":2166066,"dateTimeUTC":"2023-07-18T02:50:05.827Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":4,"logType":"test","logValue":8913,"logNote":""}
[2023-07-18 12:50:07.003 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.003 PM] : 	{"id":2166067,"dateTimeUTC":"2023-07-18T02:50:05.827Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":8,"logType":"test","logValue":9568,"logNote":""}
[2023-07-18 12:50:07.005 PM] : 	ToServer/AAAAAA - LOG,9,1689648606,test,5906,
[2023-07-18 12:50:07.005 PM] : 	ToServer/BBBBBB - LOG,5,1689648606,test,7184,
[2023-07-18 12:50:07.005 PM] : 	ToServer/CCCCC - LOG,7,1689648606,test,6565,
[2023-07-18 12:50:07.005 PM] : 	ToServer/DDDDD - LOG,0,1689648606,test,7524,
[2023-07-18 12:50:07.005 PM] : 	ToServer/EEEEE - LOG,4,1689648606,test,1678,
[2023-07-18 12:50:07.048 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.049 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.050 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.053 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.068 PM] : 	ToServer/AAAAAA - LOG,4,1689648606,test,2349,
[2023-07-18 12:50:07.068 PM] : 	ToServer/BBBBBB - LOG,5,1689648606,test,7438,
[2023-07-18 12:50:07.068 PM] : 	ToServer/CCCCC - LOG,8,1689648606,test,9709,
[2023-07-18 12:50:07.068 PM] : 	ToServer/DDDDD - LOG,5,1689648606,test,8748,
[2023-07-18 12:50:07.068 PM] : 	ToServer/EEEEE - LOG,8,1689648606,test,1990,
[2023-07-18 12:50:07.069 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.074 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.075 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.075 PM] : 	{"id":2166073,"dateTimeUTC":"2023-07-18T02:50:05.884Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":7901,"logNote":""}
[2023-07-18 12:50:07.082 PM] : 	{"id":2166075,"dateTimeUTC":"2023-07-18T02:50:05.884Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":4737,"logNote":""}
[2023-07-18 12:50:07.093 PM] : 	{"id":2166076,"dateTimeUTC":"2023-07-18T02:50:05.884Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":8156,"logNote":""}
[2023-07-18 12:50:07.098 PM] : 	{"id":2166078,"dateTimeUTC":"2023-07-18T02:50:05.884Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":9,"logType":"test","logValue":9018,"logNote":""}
[2023-07-18 12:50:07.098 PM] : 	{"id":2166077,"dateTimeUTC":"2023-07-18T02:50:05.931Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":9,"logType":"test","logValue":2242,"logNote":""}
[2023-07-18 12:50:07.112 PM] : 	ToServer/AAAAAA - LOG,7,1689648607,test,9795,
[2023-07-18 12:50:07.112 PM] : 	ToServer/BBBBBB - LOG,9,1689648607,test,2889,
[2023-07-18 12:50:07.112 PM] : 	ToServer/CCCCC - LOG,3,1689648607,test,3084,
[2023-07-18 12:50:07.112 PM] : 	ToServer/DDDDD - LOG,9,1689648607,test,3183,
[2023-07-18 12:50:07.112 PM] : 	ToServer/EEEEE - LOG,6,1689648607,test,1980,
[2023-07-18 12:50:07.123 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.132 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.136 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.148 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.148 PM] : 	{"id":2166085,"dateTimeUTC":"2023-07-18T02:50:05.932Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":3,"logType":"test","logValue":4977,"logNote":""}
[2023-07-18 12:50:07.149 PM] : 	{"id":2166084,"dateTimeUTC":"2023-07-18T02:50:05.931Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":7618,"logNote":""}
[2023-07-18 12:50:07.149 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.153 PM] : 	{"id":2166086,"dateTimeUTC":"2023-07-18T02:50:05.932Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":6,"logType":"test","logValue":5164,"logNote":""}
[2023-07-18 12:50:07.171 PM] : 	ToServer/AAAAAA - LOG,7,1689648607,test,225,
[2023-07-18 12:50:07.172 PM] : 	ToServer/BBBBBB - LOG,4,1689648607,test,7218,
[2023-07-18 12:50:07.172 PM] : 	ToServer/CCCCC - LOG,9,1689648607,test,3034,
[2023-07-18 12:50:07.172 PM] : 	ToServer/DDDDD - LOG,6,1689648607,test,9860,
[2023-07-18 12:50:07.172 PM] : 	ToServer/EEEEE - LOG,1,1689648607,test,95,
[2023-07-18 12:50:07.177 PM] : 	{"id":2166092,"dateTimeUTC":"2023-07-18T02:50:05.984Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":5,"logType":"test","logValue":8113,"logNote":""}
[2023-07-18 12:50:07.178 PM] : 	{"id":2166093,"dateTimeUTC":"2023-07-18T02:50:05.984Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":4,"logType":"test","logValue":8131,"logNote":""}
[2023-07-18 12:50:07.181 PM] : 	{"id":2166094,"dateTimeUTC":"2023-07-18T02:50:05.984Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":5,"logType":"test","logValue":3010,"logNote":""}
[2023-07-18 12:50:07.186 PM] : 	{"id":2166095,"dateTimeUTC":"2023-07-18T02:50:05.984Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":5,"logType":"test","logValue":3180,"logNote":""}
[2023-07-18 12:50:07.196 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.201 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.219 PM] : 	{"id":2166096,"dateTimeUTC":"2023-07-18T02:50:05.984Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":2926,"logNote":""}
[2023-07-18 12:50:07.220 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.220 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.224 PM] : 	ToServer/AAAAAA - LOG,6,1689648607,test,1695,
[2023-07-18 12:50:07.224 PM] : 	ToServer/BBBBBB - LOG,2,1689648607,test,6419,
[2023-07-18 12:50:07.224 PM] : 	ToServer/CCCCC - LOG,6,1689648607,test,1442,
[2023-07-18 12:50:07.224 PM] : 	ToServer/DDDDD - LOG,2,1689648607,test,402,
[2023-07-18 12:50:07.224 PM] : 	ToServer/EEEEE - LOG,2,1689648607,test,3154,
[2023-07-18 12:50:07.233 PM] : 	{"id":2166102,"dateTimeUTC":"2023-07-18T02:50:06.050Z","timestampUTC":1689648605,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":6192,"logNote":""}
[2023-07-18 12:50:07.246 PM] : 	{"id":2166103,"dateTimeUTC":"2023-07-18T02:50:06.050Z","timestampUTC":1689648605,"deviceId":"CCCCC","taskId":3,"logType":"test","logValue":7665,"logNote":""}
[2023-07-18 12:50:07.249 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.250 PM] : 	{"id":2166104,"dateTimeUTC":"2023-07-18T02:50:06.050Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":2,"logType":"test","logValue":7770,"logNote":""}
[2023-07-18 12:50:07.253 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.258 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.271 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.271 PM] : 	{"id":2166105,"dateTimeUTC":"2023-07-18T02:50:06.050Z","timestampUTC":1689648605,"deviceId":"EEEEE","taskId":1,"logType":"test","logValue":4467,"logNote":""}
[2023-07-18 12:50:07.271 PM] : 	{"id":2166106,"dateTimeUTC":"2023-07-18T02:50:06.050Z","timestampUTC":1689648605,"deviceId":"DDDDD","taskId":1,"logType":"test","logValue":2828,"logNote":""}
[2023-07-18 12:50:07.275 PM] : 	ToServer/AAAAAA - LOG,0,1689648607,test,3883,
[2023-07-18 12:50:07.275 PM] : 	ToServer/BBBBBB - LOG,5,1689648607,test,2137,
[2023-07-18 12:50:07.275 PM] : 	ToServer/CCCCC - LOG,3,1689648607,test,7736,
[2023-07-18 12:50:07.275 PM] : 	ToServer/DDDDD - LOG,1,1689648607,test,8292,
[2023-07-18 12:50:07.275 PM] : 	ToServer/EEEEE - LOG,8,1689648607,test,7493,
[2023-07-18 12:50:07.286 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.292 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.292 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.296 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.305 PM] : 	{"id":2166074,"dateTimeUTC":"2023-07-18T02:50:05.884Z","timestampUTC":1689648605,"deviceId":"BBBBBB","taskId":7,"logType":"test","logValue":2919,"logNote":""}
[2023-07-18 12:50:07.321 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.329 PM] : 	ToServer/AAAAAA - LOG,9,1689648607,test,7774,
[2023-07-18 12:50:07.329 PM] : 	ToServer/BBBBBB - LOG,9,1689648607,test,1963,
[2023-07-18 12:50:07.329 PM] : 	ToServer/CCCCC - LOG,3,1689648607,test,6824,
[2023-07-18 12:50:07.329 PM] : 	ToServer/DDDDD - LOG,2,1689648607,test,7353,
[2023-07-18 12:50:07.330 PM] : 	ToServer/EEEEE - LOG,4,1689648607,test,1336,
[2023-07-18 12:50:07.335 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.335 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.339 PM] : 	{"id":2166116,"dateTimeUTC":"2023-07-18T02:50:06.104Z","timestampUTC":1689648606,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":4544,"logNote":""}
[2023-07-18 12:50:07.344 PM] : 	{"id":2166118,"dateTimeUTC":"2023-07-18T02:50:06.105Z","timestampUTC":1689648606,"deviceId":"BBBBBB","taskId":4,"logType":"test","logValue":5849,"logNote":""}
[2023-07-18 12:50:07.345 PM] : 	{"id":2166119,"dateTimeUTC":"2023-07-18T02:50:06.105Z","timestampUTC":1689648606,"deviceId":"EEEEE","taskId":2,"logType":"test","logValue":3014,"logNote":""}
[2023-07-18 12:50:07.345 PM] : 	{"id":2166117,"dateTimeUTC":"2023-07-18T02:50:06.105Z","timestampUTC":1689648606,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":5807,"logNote":""}
[2023-07-18 12:50:07.348 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.363 PM] : 	{"id":2166120,"dateTimeUTC":"2023-07-18T02:50:06.105Z","timestampUTC":1689648606,"deviceId":"DDDDD","taskId":4,"logType":"test","logValue":7407,"logNote":""}
[2023-07-18 12:50:07.380 PM] : 	{"id":2166126,"dateTimeUTC":"2023-07-18T02:50:06.156Z","timestampUTC":1689648606,"deviceId":"AAAAAA","taskId":7,"logType":"test","logValue":1379,"logNote":""}
[2023-07-18 12:50:07.385 PM] : 	ToServer/AAAAAA - LOG,4,1689648607,test,5410,
[2023-07-18 12:50:07.385 PM] : 	ToServer/BBBBBB - LOG,8,1689648607,test,3311,
[2023-07-18 12:50:07.385 PM] : 	ToServer/CCCCC - LOG,4,1689648607,test,5965,
[2023-07-18 12:50:07.385 PM] : 	ToServer/DDDDD - LOG,6,1689648607,test,3892,
[2023-07-18 12:50:07.385 PM] : 	ToServer/EEEEE - LOG,8,1689648607,test,5112,
[2023-07-18 12:50:07.386 PM] : 	{"id":2166127,"dateTimeUTC":"2023-07-18T02:50:06.156Z","timestampUTC":1689648606,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":655,"logNote":""}
[2023-07-18 12:50:07.391 PM] : 	{"id":2166129,"dateTimeUTC":"2023-07-18T02:50:06.156Z","timestampUTC":1689648606,"deviceId":"CCCCC","taskId":2,"logType":"test","logValue":5499,"logNote":""}
[2023-07-18 12:50:07.391 PM] : 	{"id":2166128,"dateTimeUTC":"2023-07-18T02:50:06.156Z","timestampUTC":1689648606,"deviceId":"EEEEE","taskId":4,"logType":"test","logValue":9104,"logNote":""}
[2023-07-18 12:50:07.395 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.400 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.405 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.415 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.415 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.417 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.417 PM] : 	{"id":2166130,"dateTimeUTC":"2023-07-18T02:50:06.156Z","timestampUTC":1689648606,"deviceId":"DDDDD","taskId":2,"logType":"test","logValue":93,"logNote":""}
[2023-07-18 12:50:07.438 PM] : 	ToServer/AAAAAA - LOG,9,1689648607,test,8326,
[2023-07-18 12:50:07.439 PM] : 	ToServer/BBBBBB - LOG,1,1689648607,test,5798,
[2023-07-18 12:50:07.439 PM] : 	ToServer/CCCCC - LOG,5,1689648607,test,5062,
[2023-07-18 12:50:07.439 PM] : 	ToServer/DDDDD - LOG,9,1689648607,test,2488,
[2023-07-18 12:50:07.439 PM] : 	ToServer/EEEEE - LOG,0,1689648607,test,4277,
[2023-07-18 12:50:07.439 PM] : 	{"id":2166135,"dateTimeUTC":"2023-07-18T02:50:06.212Z","timestampUTC":1689648606,"deviceId":"AAAAAA","taskId":4,"logType":"test","logValue":1711,"logNote":""}
[2023-07-18 12:50:07.453 PM] : 	{"id":2166136,"dateTimeUTC":"2023-07-18T02:50:06.212Z","timestampUTC":1689648606,"deviceId":"BBBBBB","taskId":1,"logType":"test","logValue":9081,"logNote":""}
[2023-07-18 12:50:07.463 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.464 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.472 PM] : 	{"id":2166137,"dateTimeUTC":"2023-07-18T02:50:06.212Z","timestampUTC":1689648606,"deviceId":"CCCCC","taskId":1,"logType":"test","logValue":9973,"logNote":""}
[2023-07-18 12:50:07.477 PM] : 	{"id":2166138,"dateTimeUTC":"2023-07-18T02:50:06.212Z","timestampUTC":1689648606,"deviceId":"DDDDD","taskId":9,"logType":"test","logValue":1080,"logNote":""}
[2023-07-18 12:50:07.488 PM] : 	ToServer/AAAAAA - LOG,1,1689648607,test,3718,
[2023-07-18 12:50:07.488 PM] : 	ToServer/BBBBBB - LOG,9,1689648607,test,8090,
[2023-07-18 12:50:07.488 PM] : 	ToServer/CCCCC - LOG,3,1689648607,test,8174,
[2023-07-18 12:50:07.488 PM] : 	ToServer/DDDDD - LOG,0,1689648607,test,3997,
[2023-07-18 12:50:07.488 PM] : 	ToServer/EEEEE - LOG,5,1689648607,test,147,
[2023-07-18 12:50:07.489 PM] : 	{"id":2166144,"dateTimeUTC":"2023-07-18T02:50:06.272Z","timestampUTC":1689648606,"deviceId":"AAAAAA","taskId":3,"logType":"test","logValue":4370,"logNote":""}
[2023-07-18 12:50:07.489 PM] : 	{"id":2166139,"dateTimeUTC":"2023-07-18T02:50:06.212Z","timestampUTC":1689648606,"deviceId":"EEEEE","taskId":8,"logType":"test","logValue":5693,"logNote":""}
[2023-07-18 12:50:07.490 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.498 PM] : 	{"id":2166145,"dateTimeUTC":"2023-07-18T02:50:06.273Z","timestampUTC":1689648606,"deviceId":"CCCCC","taskId":5,"logType":"test","logValue":1851,"logNote":""}
[2023-07-18 12:50:07.513 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.514 PM] : 	{"id":2166148,"dateTimeUTC":"2023-07-18T02:50:06.273Z","timestampUTC":1689648606,"deviceId":"DDDDD","taskId":3,"logType":"test","logValue":4279,"logNote":""}
[2023-07-18 12:50:07.514 PM] : 	{"id":2166146,"dateTimeUTC":"2023-07-18T02:50:06.272Z","timestampUTC":1689648606,"deviceId":"BBBBBB","taskId":3,"logType":"test","logValue":9841,"logNote":""}
[2023-07-18 12:50:07.515 PM] : 	{"id":2166147,"dateTimeUTC":"2023-07-18T02:50:06.273Z","timestampUTC":1689648606,"deviceId":"EEEEE","taskId":2,"logType":"test","logValue":1814,"logNote":""}
[2023-07-18 12:50:07.517 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.522 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.528 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.535 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.539 PM] : 	ToServer/AAAAAA - LOG,7,1689648607,test,6554,
[2023-07-18 12:50:07.539 PM] : 	ToServer/BBBBBB - LOG,3,1689648607,test,4690,
[2023-07-18 12:50:07.539 PM] : 	ToServer/CCCCC - LOG,2,1689648607,test,7167,
[2023-07-18 12:50:07.539 PM] : 	ToServer/DDDDD - LOG,3,1689648607,test,5707,
[2023-07-18 12:50:07.539 PM] : 	ToServer/EEEEE - LOG,4,1689648607,test,1702,
[2023-07-18 12:50:07.564 PM] : 	{"id":2166154,"dateTimeUTC":"2023-07-18T02:50:06.323Z","timestampUTC":1689648606,"deviceId":"AAAAAA","taskId":6,"logType":"test","logValue":6765,"logNote":""}
[2023-07-18 12:50:07.565 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.573 PM] : 	{"code":"P2025","clientVersion":"4.12.0","meta":{"cause":"Record to update not found."}}
[2023-07-18 12:50:07.577 PM] : 	{"id":2166155,"dateTimeUTC":"2023-07-18T02:50:06.323Z","timestampUTC":1689648606,"deviceId":"CCCCC","taskId":9,"logType":"test","logValue":4174,"logNote":""}
